county,county,fips_code,dem_2016,gop_2016,oth_2016,2016
MO,pulaski,29169,2918,9870,655,2016
AR,hempstead,05057,2371,4391,222,2016
MN,kandiyohi,27067,7266,12785,1597,2016
OH,clinton,39027,3943,13466,691,2016
OR,jefferson,41031,2892,5337,645,2016
ND,stark,38089,1745,9718,652,2016
WV,doddridge,54017,360,2347,119,2016
KY,lawrence,21127,1045,4816,176,2016
MI,emmet,26047,6972,10616,1186,2016
WA,clallam,53009,13733,13741,1728,2016
SC,cherokee,45021,6089,15165,500,2016
MN,stearns,27145,25575,47618,5792,2016
VA,colonial heights city,51570,2367,5681,379,2016
MS,clarke,28023,2556,5088,69,2016
MD,charles,24017,46063,24163,2254,2016
AR,prairie,05117,812,2503,89,2016
TX,blanco,48031,1244,4212,213,2016
KY,metcalfe,21169,976,3491,149,2016
NY,saratoga,36091,46546,51088,6455,2016
IL,carroll,17015,2437,4428,489,2016
PA,jefferson,42065,3437,14533,581,2016
MS,carroll,28015,1648,3774,48,2016
FL,clay,12019,27768,74898,3697,2016
FL,sarasota,12115,97676,124098,6735,2016
FL,lee,12071,124725,191141,9931,2016
MO,shelby,29205,606,2524,122,2016
VA,king george,51099,4002,7338,627,2016
AR,cleburne,05023,2101,9454,413,2016
MN,big stone,27011,921,1607,201,2016
AR,lincoln,05079,1252,2455,107,2016
KY,union,21225,1331,4701,177,2016
NC,caswell,37033,4549,5758,208,2016
PA,clinton,42035,4533,9701,605,2016
NE,cherry,31031,317,2623,142,2016
CA,glenn,06021,1766,3405,269,2016
WY,sheridan,56033,2926,10266,995,2016
NE,antelope,31003,381,2717,122,2016
KS,logan,20109,149,1124,75,2016
KY,warren,21227,16966,28673,2777,2016
ID,lemhi,16059,733,3011,324,2016
MO,morgan,29141,1768,6757,290,2016
TN,johnson,47091,988,5400,168,2016
GA,crisp,13081,2835,4539,126,2016
ID,cassia,16031,1036,5949,1193,2016
ND,sheridan,38083,94,644,36,2016
IL,johnson,17087,1135,4644,238,2016
